4MLinux,4MLinux
AlpineLinux,AlpineLinux
android,android
anonymous,anonymous
antergos,antergos
archlinux,archlinux
archlinux,arch
arcolinux,arcolinux
chakra,chakra
debian,debian
deepin,deepin
devuan,devuan
elementary,elementary
endeavouros,endeavouros
fedora,fedora
freebsd,freebsd
gentoo,gentoo
gnu-linux,gnu-linux
gnu-linux,lfs
gnu-linux,linux
gnu-linux,unknown
haiku,haiku
kali,kali
kaos,kaos
korora,korora
kubuntu,kubuntu
linuxmint,linuxmint
lubuntu,lubuntu
macosx,macosx
mageia,mageia
manjaro,manjaro
manjaro,Manjaro.i686
manjaro,Manjaro.x86_64
mx-linux,mx-linux
opensuse,opensuse
parrot,parrot
pop-os,pop-os
siduction,siduction
solus,solus
steamos,steamos
SystemRescueCD,SystemRescueCD
ubuntu,ubuntu
void,void
windows,windows
xubuntu,xubuntu

cancel,cancel
driver,driver
driver,memtest
edit,edit
efi,efi
find.efi,find.efi
find.none,find.none
help,help
kbd,kbd
lang,lang
recovery,recovery
restart,restart
shutdown,shutdown
type,type
tz,tz
unset,unset
